year,emotion_appeal,authority_appeal,polarization,presumption,exaggeration,rhetorical_framing
1913.0,0.167,0.0,0.0,0.667,0.0,0.667
1914.0,0.143,0.0,0.0,0.143,0.0,0.286
1915.0,0.222,0.0,0.111,0.556,0.0,0.556
1916.0,0.0,0.0,0.0,0.5,0.0,0.5
1917.0,0.2,0.0,0.2,0.6,0.2,0.4
1918.0,0.2,0.0,0.0,0.0,0.2,0.2
1921.0,0.333,0.167,0.167,0.5,0.0,0.667
1922.0,0.125,0.0,0.125,0.125,0.0,0.5
1923.0,0.222,0.222,0.111,0.333,0.111,0.778
1934.0,0.0,0.0,0.0,0.0,0.0,1.0
1935.0,0.4,0.0,0.0,0.2,0.0,0.2
1936.0,0.6,0.2,0.2,0.4,0.2,0.8
1937.0,1.0,0.0,0.0,1.0,0.0,1.0
1938.0,0.0,0.0,0.0,0.333,0.0,0.333
1939.0,0.167,0.0,0.0,0.333,0.0,0.833
1940.0,0.4,0.0,0.2,0.4,0.0,1.0
1941.0,0.4,0.0,0.0,0.0,0.0,0.6
1942.0,0.333,0.0,0.0,0.333,0.333,0.667
1943.0,0.5,0.0,0.0,0.25,0.0,0.5
1947.0,0.0,0.333,0.0,0.333,0.0,0.667
1948.0,0.0,0.0,0.0,0.143,0.0,0.429
1949.0,0.375,0.0,0.125,0.125,0.0,0.75
1950.0,0.571,0.0,0.0,0.143,0.143,0.714
1951.0,0.2,0.0,0.6,0.0,0.2,0.8
1952.0,0.111,0.0,0.0,0.444,0.0,0.778
1953.0,0.1,0.0,0.0,0.4,0.0,0.7
1954.0,0.0,0.0,0.0,0.375,0.0,0.25
1955.0,0.3,0.0,0.1,0.2,0.0,0.3
1957.0,0.333,0.0,0.0,0.333,0.167,0.667
1958.0,0.2,0.2,0.0,0.2,0.0,0.6
1959.0,0.2,0.0,0.0,0.0,0.0,0.6
1960.0,0.167,0.0,0.0,0.667,0.0,0.833
1961.0,0.182,0.0,0.0,0.273,0.091,0.818
1962.0,0.3,0.1,0.2,0.2,0.0,0.7
1963.0,0.2,0.0,0.0,0.0,0.0,0.4
1964.0,0.0,0.0,0.0,0.0,0.0,0.5
1965.0,0.385,0.077,0.154,0.154,0.0,0.769
1966.0,0.0,0.0,0.0,0.25,0.0,0.75
1967.0,0.1,0.3,0.1,0.0,0.0,0.4
1968.0,0.2,0.0,0.0,0.2,0.0,0.2
1969.0,0.222,0.0,0.037,0.037,0.074,0.519
1970.0,0.0,0.0,0.0,0.5,0.0,0.5
1971.0,0.333,0.0,0.167,0.167,0.0,0.833
1972.0,0.333,0.0,0.0,0.0,0.0,1.0
1973.0,0.4,0.0,0.0,0.0,0.0,0.4
1974.0,0.25,0.125,0.0,0.375,0.0,0.5
1975.0,0.125,0.0,0.0,0.375,0.0,0.375
1976.0,0.5,0.25,0.25,0.25,0.0,0.75
1977.0,0.25,0.0,0.0,0.0,0.0,0.0
1978.0,0.0,0.333,0.0,0.333,0.0,0.667
1979.0,0.0,0.0,0.0,0.0,0.0,0.75
1980.0,0.333,0.0,0.333,0.0,0.0,0.667
1981.0,0.0,0.0,0.0,0.5,0.0,1.0
1982.0,0.091,0.0,0.0,0.182,0.0,0.364
1983.0,0.429,0.286,0.0,0.143,0.143,0.429
1984.0,0.333,0.0,0.0,0.167,0.167,0.333
1985.0,0.167,0.0,0.0,0.333,0.083,0.583
1986.0,0.5,0.0,0.0,0.5,0.0,1.0
1987.0,0.062,0.0,0.0,0.062,0.0,0.25
1988.0,0.2,0.0,0.0,0.0,0.0,0.4
1989.0,0.25,0.0,0.0,0.0,0.0,0.75
1990.0,0.444,0.0,0.111,0.333,0.0,0.667
1991.0,0.0,0.0,0.0,0.0,0.0,0.5
1992.0,0.143,0.0,0.143,0.429,0.0,0.429
1993.0,0.0,0.0,0.0,0.5,0.5,1.0
1994.0,0.467,0.0,0.0,0.267,0.0,0.667
1995.0,0.167,0.0,0.0,0.5,0.167,0.667
1996.0,0.364,0.0,0.0,0.0,0.091,0.636
1997.0,0.714,0.0,0.0,0.286,0.0,0.714
1998.0,0.25,0.0,0.0,0.083,0.083,0.667
1999.0,0.286,0.0,0.0,0.143,0.143,0.571
2000.0,0.357,0.071,0.0,0.143,0.143,0.643
2001.0,0.5,0.5,0.0,0.0,0.0,1.0
2002.0,0.556,0.0,0.333,0.333,0.222,0.889
2003.0,0.333,0.0,0.0,0.111,0.0,0.444
2004.0,0.222,0.222,0.111,0.111,0.0,0.222
2005.0,0.364,0.0,0.091,0.273,0.182,0.909
2006.0,0.5,0.0,0.125,0.125,0.125,0.625
2007.0,0.75,0.0,0.5,0.0,0.5,1.0
2008.0,0.556,0.0,0.0,0.222,0.111,0.444
2009.0,0.667,0.0,0.0,0.0,0.0,0.667
2010.0,0.2,0.0,0.1,0.3,0.1,0.2
2011.0,0.167,0.0,0.0,0.167,0.167,0.333
2012.0,0.0,0.0,0.0,0.111,0.0,0.556
2013.0,0.111,0.0,0.0,0.333,0.222,0.667
2014.0,0.333,0.0,0.0,0.0,0.0,0.833
2015.0,0.214,0.071,0.143,0.143,0.071,0.5
2016.0,0.147,0.0,0.029,0.294,0.059,0.559
2017.0,0.25,0.0,0.062,0.125,0.062,0.562
2018.0,0.4,0.025,0.025,0.075,0.05,0.5
2019.0,0.346,0.0,0.077,0.077,0.077,0.385
2020.0,0.393,0.011,0.011,0.112,0.011,0.36
2021.0,0.5,0.25,0.0,0.25,0.25,0.5
2022.0,0.3,0.0,0.1,0.2,0.1,0.4
2023.0,0.556,0.056,0.056,0.167,0.167,0.611
2024.0,0.273,0.0,0.091,0.091,0.091,0.636
2025.0,0.25,0.25,0.0,0.0,0.25,0.5
