model,label,f1_mean,f1_std,f1_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,average_precision_mean,average_precision_std,average_precision_count,support_mean,support_std,support_count
logreg_tfidf,authority_appeal,0.4285714285714285,,1,0.375,,1,0.5,,1,0.247875816993464,,1,6.0,,1
svm_tfidf,authority_appeal,0.4,,1,0.3333333333333333,,1,0.5,,1,0.1999413388543823,,1,6.0,,1
distilbert,authority_appeal,0.1492537313432835,,1,0.081967213114754,,1,0.8333333333333334,,1,0.2311731367143738,,1,6.0,,1
dummy,authority_appeal,0.0,,1,0.0,,1,0.0,,1,0.04,,1,6.0,,1
distilbert,emotion_appeal,0.5217391304347826,,1,0.4054054054054054,,1,0.7317073170731707,,1,0.5573657054798912,,1,41.0,,1
logreg_tfidf,emotion_appeal,0.5043478260869565,,1,0.3918918918918919,,1,0.7073170731707317,,1,0.4752949676491458,,1,41.0,,1
dummy,emotion_appeal,0.4293193717277487,,1,0.2733333333333333,,1,1.0,,1,0.2733333333333333,,1,41.0,,1
svm_tfidf,emotion_appeal,0.3902439024390244,,1,0.3902439024390244,,1,0.3902439024390244,,1,0.3879171161818902,,1,41.0,,1
logreg_tfidf,exaggeration,0.2222222222222222,,1,0.1481481481481481,,1,0.4444444444444444,,1,0.0813263760237025,,1,9.0,,1
distilbert,exaggeration,0.09375,,1,0.0545454545454545,,1,0.3333333333333333,,1,0.0885714508174551,,1,9.0,,1
dummy,exaggeration,0.0,,1,0.0,,1,0.0,,1,0.06,,1,9.0,,1
svm_tfidf,exaggeration,0.0,,1,0.0,,1,0.0,,1,0.0838350295328948,,1,9.0,,1
svm_tfidf,polarization,0.3,,1,0.25,,1,0.375,,1,0.3631553158784888,,1,8.0,,1
logreg_tfidf,polarization,0.1714285714285714,,1,0.1111111111111111,,1,0.375,,1,0.412558260176633,,1,8.0,,1
distilbert,polarization,0.1186440677966101,,1,0.0636363636363636,,1,0.875,,1,0.33319817634046,,1,8.0,,1
dummy,polarization,0.0,,1,0.0,,1,0.0,,1,0.0533333333333333,,1,8.0,,1
logreg_tfidf,presumption,0.5098039215686274,,1,0.5416666666666666,,1,0.4814814814814814,,1,0.4854443254717806,,1,27.0,,1
svm_tfidf,presumption,0.4347826086956521,,1,0.5263157894736842,,1,0.3703703703703703,,1,0.426233454692673,,1,27.0,,1
distilbert,presumption,0.3176470588235294,,1,0.1888111888111888,,1,1.0,,1,0.3377845431720978,,1,27.0,,1
dummy,presumption,0.3050847457627119,,1,0.18,,1,1.0,,1,0.18,,1,27.0,,1
svm_tfidf,rhetorical_framing,0.7526881720430108,,1,0.660377358490566,,1,0.875,,1,0.8172991646938939,,1,80.0,,1
logreg_tfidf,rhetorical_framing,0.7395833333333334,,1,0.6339285714285714,,1,0.8875,,1,0.8198596661999478,,1,80.0,,1
distilbert,rhetorical_framing,0.6956521739130435,,1,0.5333333333333333,,1,1.0,,1,0.6127022406220695,,1,80.0,,1
dummy,rhetorical_framing,0.6956521739130435,,1,0.5333333333333333,,1,1.0,,1,0.5333333333333333,,1,80.0,,1
